match_id,inning_id,team_name,team_shortname,bowl_id,bowl_name,overs,maidens,runs,dots,wickets,economy,no_balls,wides,isOverseas
66218,1,Delhi Capitals,DC,10952,Khaleel Ahmed,2.0,0,31,0,0,15.5,0,3,False
66218,1,Delhi Capitals,DC,11427,Nortje,4.0,0,44,0,0,11.0,0,0,True
66218,1,Delhi Capitals,DC,10754,Mukesh Kumar,4.0,0,36,0,2,9.0,0,0,False
66218,1,Delhi Capitals,DC,8808,Axar,4.0,0,38,0,0,9.5,0,0,False
66218,1,Delhi Capitals,DC,8292,Kuldeep Yadav,4.0,0,31,0,1,7.8,0,0,False
66218,1,Delhi Capitals,DC,11445,Rovman Powell,2.0,0,18,0,1,9.0,1,1,True
66218,2,Rajasthan Royals,RR,10952,Khaleel Ahmed,2.0,0,31,0,0,15.5,0,3,False
66218,2,Rajasthan Royals,RR,11427,Nortje,4.0,0,44,0,0,11.0,0,0,True
66218,2,Rajasthan Royals,RR,10754,Mukesh Kumar,4.0,0,36,0,2,9.0,0,0,False
66218,2,Rajasthan Royals,RR,8808,Axar,4.0,0,38,0,0,9.5,0,0,False
66218,2,Rajasthan Royals,RR,8292,Kuldeep Yadav,4.0,0,31,0,1,7.8,0,0,False
66218,2,Rajasthan Royals,RR,11445,Rovman Powell,2.0,0,18,0,1,9.0,1,1,True
