match_id,inning_id,team_name,team_shortname,bowl_id,bowl_name,overs,maidens,runs,dots,wickets,economy,no_balls,wides,isOverseas
66204,1,Gujarat Titans,GT,7909,Shami,4.0,0,41,0,3,10.2,0,10,False
66204,1,Gujarat Titans,GT,11128,Joshua Little,4.0,0,27,0,0,6.8,0,0,True
66204,1,Gujarat Titans,GT,9647,Hardik Pandya,3.0,0,18,0,0,6.0,0,0,False
66204,1,Gujarat Titans,GT,11220,Alzarri Joseph,4.0,0,29,0,2,7.2,0,1,True
66204,1,Gujarat Titans,GT,14172,Yash Dayal,1.0,0,12,0,0,12.0,0,0,False
66204,1,Gujarat Titans,GT,10738,Rashid Khan,4.0,0,31,0,3,7.8,0,0,True
66204,2,Delhi Capitals,DC,7909,Shami,4.0,0,41,0,3,10.2,0,10,False
66204,2,Delhi Capitals,DC,11128,Joshua Little,4.0,0,27,0,0,6.8,0,0,True
66204,2,Delhi Capitals,DC,9647,Hardik Pandya,3.0,0,18,0,0,6.0,0,0,False
66204,2,Delhi Capitals,DC,11220,Alzarri Joseph,4.0,0,29,0,2,7.2,0,1,True
66204,2,Delhi Capitals,DC,14172,Yash Dayal,1.0,0,12,0,0,12.0,0,0,False
66204,2,Delhi Capitals,DC,10738,Rashid Khan,4.0,0,31,0,3,7.8,0,0,True
